Title,Company,Location,Salary Min,Salary Max,Contract Type,Category,Created,Description,Redirect URL,Average Salary,Posting Year,Posting Month,Posting Day,Posting Weekday,City,State
Data Analyst,Ignisov Consulting Services,"Bangalore, Karnataka",,,Not Specified,IT Jobs,2026-09-09 14:44:26+00:00,"Role: Data Analyst Job Type: Full-time (Hybrid) Job Location: Bangalore Experience: 6 years Notice Period: Immediate to 30 Days Job Description: Must have strong experience in the Manufacturing domain. Experience working with SAP and Non-SAP data. Strong knowledge of SQL and Python/R. Experience with Azure Data Factory (ADF) and Databricks. Strong understanding of Data Modelling, ETL, Data Mapping, and Data Quality. Experience with Power BI, Tableau, or Looker. Analyze large and complex dataset…",https://www.adzuna.in/land/ad/5876869978?se=qI1Erduz8RGQqL8XwVrm_Q&utm_medium=api&utm_source=2c923469&v=072D1CE1CC72D0FC85E89D98E0B5C45236CC78D8,,2026,September,9,Wednesday,Bangalore,Karnataka
Data Analyst,KRFS,"Karnataka, India",,,Not Specified,IT Jobs,2026-09-07 18:37:51+00:00,"We are looking for a Data Analyst who can collect, analyze, interpret, and visualize business and financial data to support strategic decision-making. The ideal candidate should have strong analytical skills, attention to detail, and the ability to convert complex data into meaningful business insights. Key Responsibilities Collect, clean, validate, and analyze data from multiple sources. Prepare regular and ad-hoc business performance reports. Develop dashboards and data visualizations for man…",https://www.adzuna.in/land/ad/5874134576?se=qI1Erduz8RGQqL8XwVrm_Q&utm_medium=api&utm_source=2c923469&v=C577AE65604914B37179B4F8E139D9AF02F18B8E,,2026,September,7,Monday,Karnataka,India
Data Analyst,Indofast Energy,India,,,Not Specified,IT Jobs,2026-09-03 16:50:23+00:00,"About the Role : We are looking for a highly analytical and detail-oriented Data Analyst to join our Business Development Team. The ideal candidate should have strong skills in data handling, statistical analysis, and visualization tools, along with the ability to translate data into meaningful insights. Key Responsibilities : Data Analysis : - Collect, clean, and validate large datasets from multiple sources - Analyze data to identify trends, patterns, and actionable insights - Develop and mai…",https://www.adzuna.in/land/ad/5868794225?se=qI1Erduz8RGQqL8XwVrm_Q&utm_medium=api&utm_source=2c923469&v=D8BC56B9CB11BA0D9B5FFCBCF89C96BD2DFA3D7D,,2026,September,3,Thursday,India,Unknown
Data Analyst,Cornerstone OnDemand,"Pune, Maharashtra",,,Not Specified,IT Jobs,2026-09-09 10:19:37+00:00,"This job is with Cornerstone OnDemand, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Data Analyst - Enterprise Data Management Location: Hyderabad, India About the Role: We are seeking an experienced Data Analyst to join our Enterprise Data Management team , with a core focus on Data Quality, Data Governance, and Master Data Management (MDM). In this role, you will be responsible for an…",https://www.adzuna.in/land/ad/5876645051?se=qI1Erduz8RGQqL8XwVrm_Q&utm_medium=api&utm_source=2c923469&v=631925FDE58F85DB10B5F3F2B9DA1B57320F62F0,,2026,September,9,Wednesday,Pune,Maharashtra
Data Analyst,EXL,"Chennai, Tamil Nadu",,,Not Specified,IT Jobs,2026-09-01 16:21:54+00:00,"Bachelor’s degree with minimum 6 years’ experience as Data Analyst ● Highly numerate and passionate about data and analytics ● Excellent analytical and problem-solving skills, with knowledge of SQL & Data Visualization best practices. ● Self-starter with ability to work on own initiative and strong attention to detail, completing tasks to a very high degree of accuracy. ● Strong communication and presentation skills, able to evidence proven ability engage with senior stakeholders and influence …",https://www.adzuna.in/land/ad/5864432449?se=qI1Erduz8RGQqL8XwVrm_Q&utm_medium=api&utm_source=2c923469&v=0464D1D46052005EBAED171BB113CF1C11F71B8A,,2026,September,1,Tuesday,Chennai,Tamil Nadu
Data Analyst,WhiteLotus Talent Partners,"Hyderabad, Telangana",,,Not Specified,IT Jobs,2026-09-01 16:20:48+00:00,Job Title- Data Analyst Location- Bangalore / Hyderabad Mode- Onsite Job Type: Full-Time Must have Skill: Python scripts Domain Insurance Required Skills & Experience • Good hands-on experience to create Python scripts for data frames and data analysis • Proven ability to analyze large datasets and identify data quality or consistency issues • Experience working directly with business users and translating business questions into requirements • Excellent communication skills (verbal and written…,https://www.adzuna.in/land/ad/5864426421?se=qI1Erduz8RGQqL8XwVrm_Q&utm_medium=api&utm_source=2c923469&v=D1EB104E72A21E3DF692D8A7FE49CD9CD823CCFA,,2026,September,1,Tuesday,Hyderabad,Telangana
Data Analyst,Daice Labs,India,,,Not Specified,IT Jobs,2026-09-02 16:42:41+00:00,"Job Title: Data Analyst Location: India (Remote) Employment Type: Full-time About Daice Labs Daice Labs is an AI research and product company founded by MIT CSAIL scientists, headquartered in Brookline, MA. The company develops hybrid AI systems that integrate neurosymbolic methods with machine learning to build auditable, adaptive, and governable AI. Daice Labs operates two integrated divisions: a research lab focused on hybrid AI architectures, and Cofabric, a governed AI execution platform f…",https://www.adzuna.in/land/ad/5867036037?se=qI1Erduz8RGQqL8XwVrm_Q&utm_medium=api&utm_source=2c923469&v=3373786259D5227E399A77A714E583AB630777FD,,2026,September,2,Wednesday,India,Unknown
Data Analyst,Persistent Systems,"Hyderabad, Telangana",,,Not Specified,IT Jobs,2026-09-05 18:30:21+00:00,"About Position: We are seeking a highly skilled Data Engineer cum Data Analyst with strong expertise in Hadoop Ecosystem, Google Cloud Platform (GCP), Data Analytics, and Project Management. The ideal candidate will possess hands-on experience in designing scalable data platforms, building data pipelines, performing advanced analytics, and leading end-to-end data initiatives. This role requires a blend of technical expertise, business analysis, stakeholder management, and project delivery capab…",https://www.adzuna.in/land/ad/5871991896?se=qI1Erduz8RGQqL8XwVrm_Q&utm_medium=api&utm_source=2c923469&v=4E224CAAB3213F1718D14EA4D9357EF9FBB8D759,,2026,September,5,Saturday,Hyderabad,Telangana
Data Analyst,HTC Global Services,"Hyderabad, Telangana",,,Not Specified,IT Jobs,2026-09-14 17:17:47+00:00,"We are seeking a highly skilled and detail-oriented Senior Data Analyst / Data Governance Specialist with 7 years of experience to drive data-driven decision-making and ensure robust data governance practices. The ideal candidate will have strong expertise in data analysis, SQL, data modeling, and governance frameworks , along with the ability to translate business requirements into actionable insights. Key Responsibilities Data Analysis & Insights Analyze large volumes of structured and unstru…",https://www.adzuna.in/land/ad/5883562726?se=qI1Erduz8RGQqL8XwVrm_Q&utm_medium=api&utm_source=2c923469&v=5743FEA422ADE6DE4EE297850815AC6CE580C190,,2026,September,14,Monday,Hyderabad,Telangana
Data Analyst,Data Eminence,India,,,contract,IT Jobs,2026-09-18 17:32:26+00:00,"Join Data Eminence as a remote Data Analyst and help transform raw data into meaningful insights that support informed business decisions. You'll collect, clean, analyze, and visualize data while identifying trends, patterns, and opportunities. This role is ideal for entry-level candidates with strong analytical skills, curiosity, and an interest in data-driven problem-solving. Full Description Data Eminence is seeking a motivated Data Analyst to join our growing analytics team. In this role, y…",https://www.adzuna.in/land/ad/5889223431?se=qI1Erduz8RGQqL8XwVrm_Q&utm_medium=api&utm_source=2c923469&v=D6AC4CF23674262D9F8FB9FDA6B8DA5DC6BDE6EB,,2026,September,18,Friday,India,Unknown
